PATH,TOTAL FINAL CONTOURS,PIXEL-AREA,PIXEL-SIZE
images/test-images/NbTiN-TiB-21_150C_0004.tif,1,625.5,8.268229
images/test-images/NbTiN-TiB-21_150C_0004.tif,2,1091.5,8.268229
images/test-images/NbTiN-TiB-21_150C_0004.tif,3,3512.0,8.268229
images/test-images/NbTiN-TiB-21_150C_0004.tif,4,3705.5,8.268229
images/test-images/NbTiN-TiB-21_150C_0004.tif,5,3709.5,8.268229
images/test-images/NbTiN-TiB-21_150C_0004.tif,6,4178.5,8.268229
images/test-images/NbTiN-TiB-21_150C_0004.tif,7,4207.5,8.268229
images/test-images/NbTiN-TiB-21_150C_0004.tif,8,4254.0,8.268229
images/test-images/NbTiN-TiB-21_150C_0004.tif,9,4520.0,8.268229
images/test-images/NbTiN-TiB-21_150C_0004.tif,10,4629.0,8.268229
images/test-images/NbTiN-TiB-21_150C_0004.tif,11,4641.5,8.268229
images/test-images/NbTiN-TiB-21_150C_0004.tif,12,4722.0,8.268229
images/test-images/NbTiN-TiB-21_150C_0004.tif,13,5210.0,8.268229
images/test-images/NbTiN-TiB-21_150C_0004.tif,14,5351.5,8.268229
images/test-images/NbTiN-TiB-21_150C_0004.tif,15,5674.5,8.268229
images/test-images/NbTiN-TiB-21_150C_0004.tif,16,6081.5,8.268229
images/test-images/NbTiN-TiB-21_150C_0004.tif,17,6903.0,8.268229
images/test-images/NbTiN-TiB-21_150C_0004.tif,18,7037.0,8.268229
images/test-images/NbTiN-TiB-21_150C_0004.tif,19,7499.0,8.268229
images/test-images/NbTiN-TiB-21_150C_0004.tif,20,7794.5,8.268229
images/test-images/NbTiN-TiB-21_150C_0004.tif,21,8145.5,8.268229
