PATH,TOTAL FINAL CONTOURS,PIXEL-AREA,PIXEL-SIZE,Area in square nanometers
images/test-images/NbTiN-TiB-21_150C_0004.tif,1,625.5,8.268229,5171.7772395
images/test-images/NbTiN-TiB-21_150C_0004.tif,2,1091.5,8.268229,9024.7719535
images/test-images/NbTiN-TiB-21_150C_0004.tif,3,3512.0,8.268229,29038.020248
images/test-images/NbTiN-TiB-21_150C_0004.tif,4,3705.5,8.268229,30637.9225595
images/test-images/NbTiN-TiB-21_150C_0004.tif,5,3709.5,8.268229,30670.9954755
images/test-images/NbTiN-TiB-21_150C_0004.tif,6,4178.5,8.268229,34548.7948765
images/test-images/NbTiN-TiB-21_150C_0004.tif,7,4207.5,8.268229,34788.5735175
images/test-images/NbTiN-TiB-21_150C_0004.tif,8,4254.0,8.268229,35173.046166
images/test-images/NbTiN-TiB-21_150C_0004.tif,9,4520.0,8.268229,37372.39508
images/test-images/NbTiN-TiB-21_150C_0004.tif,10,4629.0,8.268229,38273.632041
images/test-images/NbTiN-TiB-21_150C_0004.tif,11,4641.5,8.268229,38376.9849035
images/test-images/NbTiN-TiB-21_150C_0004.tif,12,4722.0,8.268229,39042.577338
images/test-images/NbTiN-TiB-21_150C_0004.tif,13,5210.0,8.268229,43077.47309
images/test-images/NbTiN-TiB-21_150C_0004.tif,14,5351.5,8.268229,44247.4274935
images/test-images/NbTiN-TiB-21_150C_0004.tif,15,5674.5,8.268229,46918.0654605
images/test-images/NbTiN-TiB-21_150C_0004.tif,16,6081.5,8.268229,50283.2346635
images/test-images/NbTiN-TiB-21_150C_0004.tif,17,6903.0,8.268229,57075.584787
images/test-images/NbTiN-TiB-21_150C_0004.tif,18,7037.0,8.268229,58183.527473
images/test-images/NbTiN-TiB-21_150C_0004.tif,19,7499.0,8.268229,62003.449271
images/test-images/NbTiN-TiB-21_150C_0004.tif,20,7794.5,8.268229,64446.7109405
images/test-images/NbTiN-TiB-21_150C_0004.tif,21,8145.5,8.268229,67348.8593195
