ID,Path,Image Area,Pixel Size,Cntour Pixel Area,Area in square nm,Density
2|1,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,502.0,214490.77699069984,4.987787383149015e-08
2|2,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,503.5,215131.68568688718,4.987787383149015e-08
2|3,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,504.0,215345.32191894963,4.987787383149015e-08
2|4,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,505.5,215986.23061513697,4.987787383149015e-08
2|5,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,506.0,216199.86684719945,4.987787383149015e-08
2|6,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,508.0,217054.41177544923,4.987787383149015e-08
2|7,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,510.0,217908.95670369905,4.987787383149015e-08
2|8,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,514.0,219618.04656019862,4.987787383149015e-08
2|9,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,514.0,219618.04656019862,4.987787383149015e-08
2|10,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,516.0,220472.59148844844,4.987787383149015e-08
2|11,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,516.5,220686.22772051088,4.987787383149015e-08
2|12,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,516.5,220686.22772051088,4.987787383149015e-08
2|13,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,519.0,221754.40888082315,4.987787383149015e-08
2|14,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,521.0,222608.95380907293,4.987787383149015e-08
2|15,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,522.5,223249.86250526027,4.987787383149015e-08
2|16,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,523.0,223463.49873732275,4.987787383149015e-08
2|17,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,524.0,223890.77120144764,4.987787383149015e-08
2|18,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,525.0,224318.04366557254,4.987787383149015e-08
2|19,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,530.5,226668.04221825948,4.987787383149015e-08
2|20,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,531.5,227095.3146823844,4.987787383149015e-08
2|21,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,531.5,227095.3146823844,4.987787383149015e-08
2|22,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,532.5,227522.5871465093,4.987787383149015e-08
2|23,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,532.5,227522.5871465093,4.987787383149015e-08
2|24,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,536.5,229231.6770030089,4.987787383149015e-08
2|25,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,536.5,229231.6770030089,4.987787383149015e-08
2|26,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,537.5,229658.9494671338,4.987787383149015e-08
2|27,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,539.0,230299.85816332113,4.987787383149015e-08
2|28,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,539.0,230299.85816332113,4.987787383149015e-08
2|29,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,540.5,230940.7668595085,4.987787383149015e-08
2|30,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,540.5,230940.7668595085,4.987787383149015e-08
2|31,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,542.0,231581.67555569584,4.987787383149015e-08
2|32,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,542.5,231795.31178775828,4.987787383149015e-08
2|33,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,543.5,232222.58425188318,4.987787383149015e-08
2|34,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,545.0,232863.49294807055,4.987787383149015e-08
2|35,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,545.0,232863.49294807055,4.987787383149015e-08
2|36,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,546.5,233504.4016442579,4.987787383149015e-08
2|37,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,548.5,234358.94657250767,4.987787383149015e-08
2|38,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,550.0,234999.85526869504,4.987787383149015e-08
2|39,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,556.5,237777.12628550688,4.987787383149015e-08
2|40,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,557.0,237990.76251756932,4.987787383149015e-08
2|41,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,557.5,238204.3987496318,4.987787383149015e-08
2|42,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,558.5,238631.6712137567,4.987787383149015e-08
2|43,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,559.0,238845.30744581914,4.987787383149015e-08
2|44,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,559.5,239058.9436778816,4.987787383149015e-08
2|45,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,559.5,239058.9436778816,4.987787383149015e-08
2|46,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,562.0,240127.12483819385,4.987787383149015e-08
2|47,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,562.5,240340.7610702563,4.987787383149015e-08
2|48,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,564.0,240981.66976644364,4.987787383149015e-08
2|49,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,565.0,241408.94223056853,4.987787383149015e-08
2|50,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,565.5,241622.57846263098,4.987787383149015e-08
2|51,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,570.5,243758.9407832555,4.987787383149015e-08
2|52,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,572.0,244399.84947944284,4.987787383149015e-08
2|53,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,572.0,244399.84947944284,4.987787383149015e-08
2|54,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,573.0,244827.12194356773,4.987787383149015e-08
2|55,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,573.5,245040.75817563018,4.987787383149015e-08
2|56,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,574.0,245254.39440769263,4.987787383149015e-08
2|57,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,577.0,246536.21180006734,4.987787383149015e-08
2|58,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,577.5,246749.84803212978,4.987787383149015e-08
2|59,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,578.5,247177.12049625468,4.987787383149015e-08
2|60,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,579.5,247604.3929603796,4.987787383149015e-08
2|61,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,580.0,247818.02919244205,4.987787383149015e-08
2|62,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,582.5,248886.21035275428,4.987787383149015e-08
2|63,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,586.0,250381.66397719143,4.987787383149015e-08
2|64,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,586.5,250595.30020925388,4.987787383149015e-08
2|65,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,588.0,251236.20890544125,4.987787383149015e-08
2|66,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,591.0,252518.02629781593,4.987787383149015e-08
2|67,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,593.0,253372.57122606575,4.987787383149015e-08
2|68,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,594.5,254013.4799222531,4.987787383149015e-08
