ID,Path,Image Area,Pixel Size,Cntour Pixel Area,Area in square nm,Density
11|1,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,686.0,2637981.0443078624,1.3094425660951118e-09
11|2,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,718.5,2762958.28037201,1.3094425660951118e-09
11|3,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,792.0,3045599.1065478525,1.3094425660951118e-09
11|4,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,855.0,3287862.671841432,1.3094425660951118e-09
11|5,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,910.5,3501285.336504823,1.3094425660951118e-09
11|6,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,910.5,3501285.336504823,1.3094425660951118e-09
11|7,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,937.0,3603189.8520648205,1.3094425660951118e-09
11|8,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,952.0,3660871.6533251964,1.3094425660951118e-09
11|9,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,976.0,3753162.5353417983,1.3094425660951118e-09
11|10,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,980.0,3768544.3490112317,1.3094425660951118e-09
11|11,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,1001.5,3851221.5974844373,1.3094425660951118e-09
11|12,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,1110.5,4270376.019976503,1.3094425660951118e-09
11|13,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,1112.5,4278066.92681122,1.3094425660951118e-09
11|14,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,1127.0,4333826.001362916,1.3094425660951118e-09
11|15,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,1133.0,4356898.721867067,1.3094425660951118e-09
11|16,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,1152.5,4431885.0635055555,1.3094425660951118e-09
11|17,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,1175.0,4518407.76539612,1.3094425660951118e-09
11|18,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,1183.5,4551094.119443666,1.3094425660951118e-09
11|19,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,1197.5,4604930.467286684,1.3094425660951118e-09
11|20,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,1214.5,4670303.175381777,1.3094425660951118e-09
11|21,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,1224.5,4708757.7095553605,1.3094425660951118e-09
11|22,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,1236.5,4754903.150563661,1.3094425660951118e-09
11|23,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,1256.5,4831812.218910829,1.3094425660951118e-09
11|24,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,1263.0,4856807.666123658,1.3094425660951118e-09
11|25,images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,1325.0,5095225.77799988,1.3094425660951118e-09
