ID,Path,Image Area,Pixel Size,Cntour Pixel Area,Area in square nm,Density
5|1,images/test-images/SiN-TiB-21_150C_0011.tif,8400518462.666835,20.67057,500.5,213849.86829451247,3.3331276068776235e-09
5|2,images/test-images/SiN-TiB-21_150C_0011.tif,8400518462.666835,20.67057,537.0,229445.31323507134,3.3331276068776235e-09
5|3,images/test-images/SiN-TiB-21_150C_0011.tif,8400518462.666835,20.67057,3251.0,1389062.7808700502,3.3331276068776235e-09
5|4,images/test-images/SiN-TiB-21_150C_0011.tif,8400518462.666835,20.67057,3577.0,1528353.6041747676,3.3331276068776235e-09
5|5,images/test-images/SiN-TiB-21_150C_0011.tif,8400518462.666835,20.67057,6381.0,2726425.5935809873,3.3331276068776235e-09
5|6,images/test-images/SiN-TiB-21_150C_0011.tif,8400518462.666835,20.67057,6619.5,2828330.076274776,3.3331276068776235e-09
5|7,images/test-images/SiN-TiB-21_150C_0011.tif,8400518462.666835,20.67057,6919.0,2956298.1792801837,3.3331276068776235e-09
5|8,images/test-images/SiN-TiB-21_150C_0011.tif,8400518462.666835,20.67057,7051.0,3012698.1445446704,3.3331276068776235e-09
5|9,images/test-images/SiN-TiB-21_150C_0011.tif,8400518462.666835,20.67057,7576.0,3237016.188210243,3.3331276068776235e-09
5|10,images/test-images/SiN-TiB-21_150C_0011.tif,8400518462.666835,20.67057,7614.5,3253466.1780790514,3.3331276068776235e-09
5|11,images/test-images/SiN-TiB-21_150C_0011.tif,8400518462.666835,20.67057,8072.0,3448943.330416193,3.3331276068776235e-09
5|12,images/test-images/SiN-TiB-21_150C_0011.tif,8400518462.666835,20.67057,8102.5,3461975.1405720026,3.3331276068776235e-09
5|13,images/test-images/SiN-TiB-21_150C_0011.tif,8400518462.666835,20.67057,8394.0,3586525.0638644113,3.3331276068776235e-09
5|14,images/test-images/SiN-TiB-21_150C_0011.tif,8400518462.666835,20.67057,8656.0,3698470.449465135,3.3331276068776235e-09
5|15,images/test-images/SiN-TiB-21_150C_0011.tif,8400518462.666835,20.67057,8842.5,3778156.764024429,3.3331276068776235e-09
5|16,images/test-images/SiN-TiB-21_150C_0011.tif,8400518462.666835,20.67057,8884.5,3796102.2075176747,3.3331276068776235e-09
5|17,images/test-images/SiN-TiB-21_150C_0011.tif,8400518462.666835,20.67057,8943.5,3821311.2829010435,3.3331276068776235e-09
5|18,images/test-images/SiN-TiB-21_150C_0011.tif,8400518462.666835,20.67057,9704.5,4146465.6281000925,3.3331276068776235e-09
5|19,images/test-images/SiN-TiB-21_150C_0011.tif,8400518462.666835,20.67057,9805.0,4189406.5107446453,3.3331276068776235e-09
5|20,images/test-images/SiN-TiB-21_150C_0011.tif,8400518462.666835,20.67057,11334.0,4842706.108391617,3.3331276068776235e-09
5|21,images/test-images/SiN-TiB-21_150C_0011.tif,8400518462.666835,20.67057,11893.5,5081765.052069499,3.3331276068776235e-09
5|22,images/test-images/SiN-TiB-21_150C_0011.tif,8400518462.666835,20.67057,12144.0,5188796.804332786,3.3331276068776235e-09
5|23,images/test-images/SiN-TiB-21_150C_0011.tif,8400518462.666835,20.67057,12297.0,5254169.491343896,3.3331276068776235e-09
5|24,images/test-images/SiN-TiB-21_150C_0011.tif,8400518462.666835,20.67057,12448.5,5318901.269658819,3.3331276068776235e-09
5|25,images/test-images/SiN-TiB-21_150C_0011.tif,8400518462.666835,20.67057,12626.0,5394742.132040989,3.3331276068776235e-09
5|26,images/test-images/SiN-TiB-21_150C_0011.tif,8400518462.666835,20.67057,12948.0,5532323.865489206,3.3331276068776235e-09
5|27,images/test-images/SiN-TiB-21_150C_0011.tif,8400518462.666835,20.67057,13390.5,5721391.930864475,3.3331276068776235e-09
5|28,images/test-images/SiN-TiB-21_150C_0011.tif,8400518462.666835,20.67057,14737.5,6296927.940040715,3.3331276068776235e-09
