Path,Image Area,Pixel Size,Number of holes,Total hole size,Average hole size,Density
images/test-images/SiC-TiB-21_150C_0007.tif,1344083279.146667,8.268229,3,143627.5,47875.833333333336,1.4880030359947354e-09
images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,420,545573.0,1298.9833333333333,4.987787383149015e-08
images/test-images/Si-TiB-21_150C_0001 (1).tif,1344083279.146667,8.268229,1,0,0.0,0.0
images/test-images/NbTiN-TiB-21_150C_0004.tif,1344083279.146667,8.268229,22,103493.0,4704.227272727273,1.562403187794472e-08
images/test-images/SiN-TiB-21_150C_0011.tif,8400518462.666835,20.67057,29,243250.0,8387.931034482759,3.3331276068776235e-09
images/test-images/SiN-TiB-21_150C_0010.tif,1344083279.146667,8.268229,9,298147.5,33127.5,5.9520121439789414e-09
images/test-images/SiN-TiB-21_150C_0012.tif,75604690548.00003,62.01172,224,245358.0,1095.3482142857142,2.9495524468607064e-09
images/test-images/Si-TiB-21_150C_0003.tif,75604690548.00003,62.01172,2,2114.0,1057.0,1.3226692586819311e-11
images/test-images/Si-TiB-21_150C_0002.tif,8400518462.666835,20.67057,2,18843.0,9421.5,1.1904027167420084e-10
images/test-images/NbTiN-TiB-21_150C_0006 (1).tif,75604690548.00003,62.01172,2,11901.0,5950.5,1.3226692586819311e-11
images/test-images/SiC-TiB-21_150C_0009.tif,75604690548.00003,62.01172,100,178667.5,1786.675,1.3094425660951118e-09
images/test-images/SiC-TiB-21_150C_0008.tif,8400518462.666835,20.67057,9,141293.0,15699.222222222223,9.523221733936067e-10
