Path,Name,Image Area,Pixel Size,Number of holes,Total hole size,Average hole size,Density
images/input/SiN-TiP_Alu-14_150C_0014.bmp,SiN-TiP|400,75604690548.00003,62.01172,2,52873.5,26436.75,1.3226692586819311e-11
images/input/Si-TiP_Alu-14_150C_0002.bmp,Si-TiP|1300,7157841102.390558,19.08053,10,122106.5,12210.65,1.2573623626534826e-09
images/input/SiN-TiP_Alu-14_150C_0011.bmp,SiN-TiP|3000,1344083279.146667,8.268229,7,234248.0,33464.0,4.464009107984206e-09
images/input/NbT-TiP_Alu-14_150C_0007.bmp,NbT-TiP|400,75604690548.00003,62.01172,3,27081.5,9027.166666666666,2.6453385173638622e-11
images/input/Si-TiP_Alu-14_150C_0003.bmp,Si-TiP|450,59737041853.62973,55.12153,4,30368.5,7592.125,5.022009639095838e-11
images/input/Si-TiP_Alu-14_150C_0001.bmp,Si-TiP|3000,1344083279.146667,8.268229,10,331499.5,33149.95,6.69601366197631e-09
images/input/SiN-TiP_Alu-14_150C_0012.bmp,SiN-TiP|3000,1344083279.146667,8.268229,7,221816.5,31688.071428571428,4.464009107984206e-09
images/input/NbT-TiP_Alu-14_150C_0004.bmp,NbT-TiP|5000,483870097.53600484,4.960938,10,9740.5,974.05,1.8600033450776133e-08
images/input/NbT-TiP_Alu-14_150C_0005.bmp,NbT-TiP|3000,1344083279.146667,8.268229,11,16047.0,1458.8181818181818,7.440015179973678e-09
images/input/SiN-TiP_Alu-14_150C_0013.bmp,SiN-TiP|1200,8400518462.666835,20.67057,4,347404.0,86851.0,3.571208150226025e-10
images/input/SiC-TiP_Alu-14_150C_0010.bmp,SiC-TiP|400,75604690548.00003,62.01172,1,0,0.0,0.0
images/input/SiC-TiP_Alu-14_150C_0009.bmp,SiC-TiP|1200,8400518462.666835,20.67057,3,2693.5,897.8333333333334,2.380805433484017e-10
images/input/SiC-TiP_Alu-14_150C_0008.bmp,SiC-TiP|3000,1344083279.146667,8.268229,3,12012.5,4004.1666666666665,1.4880030359947354e-09
