Temperature,Path,Number of holes,Image Area,Pixel Size,Cntour Pixel Area,Area in square nm,Density
120,images/sanitized/SiC_TiP-Alu_120_0012.bmp,1,59737041853.62973,55.12153,0,0.0,0.0
120,images/sanitized/SiC_TiP-Alu_120_0010.bmp,1,1344083279.146667,8.268229,0,0.0,0.0
120,images/sanitized/SiC_TiP-Alu_120_0011.bmp,1,7157841102.390558,19.08053,0,0.0,0.0
175,images/sanitized/SiC_TiP-Alu_175_0010.bmp,1,75604690548.00003,62.01172,0,0.0,0.0
175,images/sanitized/SiC_TiP-Alu_175_0007.bmp,1,37335637.6118526,1.378038,0,0.0,0.0
200,images/sanitized/SiC_TiP-Alu_200_0001_0011.bmp,53,75604690548.00003,62.01172,41338.0,158963353.36676154,6.877880145146041e-10
150,images/sanitized/SiC_TiP-Alu_150_0010.bmp,1,75604690548.00003,62.01172,0,0.0,0.0
200,images/sanitized/SiC_TiP-Alu_200_0001_0010.bmp,20,8400518462.666835,20.67057,85983.0,36738168.282851286,2.261765161809816e-09
200,images/sanitized/SiC_TiP-Alu_200_0001_0009.bmp,4,1344083279.146667,8.268229,45835.5,3133480.282660271,2.232004553992103e-09
150,images/sanitized/SiC_TiP-Alu_150_0009.bmp,3,8400518462.666835,20.67057,2693.5,1150858.3821204184,2.380805433484017e-10
150,images/sanitized/SiC_TiP-Alu_150_0008.bmp,3,1344083279.146667,8.268229,12012.5,821217.8746922475,1.4880030359947354e-09
