Temperature,Path,Number of holes,Image Area,Pixel Size,Cntour Pixel Area,Area in square nm,Density
200,images/sanitized/SiN_TiP-Alu_200_0001_0012.bmp,35,987489636.6759248,7.087053,246732.0,12392440.441707574,3.443074108043338e-08
200,images/sanitized/SiN_TiP-Alu_200_0001_0013.bmp,31,8400518462.666835,20.67057,161096.5,68832098.51689696,3.571208150226025e-09
200,images/sanitized/SiN_TiP-Alu_200_0001_0014.bmp,71,75604690548.00003,62.01172,352177.5,1354282170.891738,9.258684810773518e-10
175,images/sanitized/SiN_TiP-Alu_175_0013.bmp,15,75604690548.00003,62.01172,14759.0,56755046.986792624,1.8517369621547035e-10
120,images/sanitized/SiN_TiP-Alu_120_0016.bmp,1,75604690548.00003,62.01172,0,0.0,0.0
175,images/sanitized/SiN_TiP-Alu_175_0012.bmp,19,8400518462.666835,20.67057,58145.0,24843757.426542316,2.142724890135615e-09
120,images/sanitized/SiN_TiP-Alu_120_0015.bmp,1,8400518462.666835,20.67057,0,0.0,0.0
120,images/sanitized/SiN_TiP-Alu_120_0014.bmp,3,1344083279.146667,8.268229,924.0,63167.97637591148,1.4880030359947354e-09
175,images/sanitized/SiN_TiP-Alu_175_0011.bmp,14,1344083279.146667,8.268229,155533.0,10632797.478002857,9.67201973396578e-09
120,images/sanitized/SiN_TiP-Alu_120_0013.bmp,1,19354803.901440196,0.9921876,0,0.0,0.0
150,images/sanitized/SiN_TiP-Alu_150_0011.bmp,12,1344083279.146667,8.268229,235761.5,16117507.426785123,8.184016697971044e-09
150,images/sanitized/SiN_TiP-Alu_150_0012.bmp,11,1344083279.146667,8.268229,223256.5,15262620.473775629,7.440015179973678e-09
150,images/sanitized/SiN_TiP-Alu_150_0013.bmp,9,8400518462.666835,20.67057,348959.0,149100571.808561,9.523221733936067e-10
150,images/sanitized/SiN_TiP-Alu_150_0014.bmp,3,75604690548.00003,62.01172,53084.5,204133971.93376198,2.6453385173638622e-11
