Temperature,Path,Number of holes,Image Area,Pixel Size,Cntour Pixel Area,Area in square nm,Density
175,images/sanitized/Si_TiP-Alu_175_0002.bmp,9,8400518462.666835,20.67057,10006.0,4275288.27603375,9.523221733936067e-10
200,images/sanitized/Si_TiP-Alu_200_0001_0001.bmp,1,9874899.153502079,0.7087054,0,0.0,0.0
175,images/sanitized/Si_TiP-Alu_175_0003.bmp,3,75604690548.00003,62.01172,5497.5,21140380.161927804,2.6453385173638622e-11
175,images/sanitized/Si_TiP-Alu_175_0001.bmp,14,1344083279.146667,8.268229,49168.0,3361302.015639411,9.67201973396578e-09
200,images/sanitized/Si_TiP-Alu_200_0001_0003.bmp,78,8400518462.666835,20.67057,52587.5,22469190.70716818,9.166100918913465e-09
120,images/sanitized/Si_TiP-Alu_120_0004.bmp,1,75604690548.00003,62.01172,0,0.0,0.0
200,images/sanitized/Si_TiP-Alu_200_0001_0002.bmp,10,483870097.53600484,4.960938,96354.5,2371371.5267452486,1.8600033450776133e-08
120,images/sanitized/Si_TiP-Alu_120_0001.bmp,1,19354803.901440196,0.9921876,0,0.0,0.0
120,images/sanitized/Si_TiP-Alu_120_0002.bmp,5,1344083279.146667,8.268229,993.5,67919.24732626413,2.9760060719894707e-09
120,images/sanitized/Si_TiP-Alu_120_0003.bmp,1,8400518462.666835,20.67057,0,0.0,0.0
200,images/sanitized/Si_TiP-Alu_200_0001_0004.bmp,12,75604690548.00003,62.01172,5994.5,23051570.51035493,1.4549361845501242e-10
150,images/sanitized/Si_TiP-Alu_150_0001.bmp,26,1344083279.146667,8.268229,335962.0,22967575.41039391,1.8600037949934192e-08
150,images/sanitized/Si_TiP-Alu_150_0003.bmp,6,59737041853.62973,55.12153,31214.0,94840089.13264966,8.370016065159729e-11
150,images/sanitized/Si_TiP-Alu_150_0002.bmp,13,7157841102.390558,19.08053,123138.5,44830618.112524405,1.6764831502046434e-09
